device_name,ip,percentage,func_2,func_3,func_4,func_5,func_6
ketoscanketonemeter,31.13.70.1,14.043275350021215,40.76354679802955,0.0,0.0,0.0,0.0
ketoscanketonemeter,110.234.25.122,31.098854476028848,14.655172413793101,59.09849749582637,43.269230769230774,0.0,25.88996763754045
ketoscanketonemeter,3.33.160.75,21.849809079338144,17.48768472906404,15.859766277128548,22.83653846153846,40.27149321266968,30.42071197411003
ketoscanketonemeter,3.37.220.195,2.9274501484938478,3.0788177339901477,0.0,6.971153846153847,6.787330316742081,0.0
ketoscanketonemeter,15.197.175.58,5.642766228256258,16.379310344827587,0.0,0.0,0.0,0.0
ketoscanketonemeter,43.201.128.52,7.339838778107764,1.8472906403940887,5.008347245409015,0.0,23.076923076923077,24.919093851132686
ketoscanketonemeter,52.79.107.99,3.224437844717862,1.2315270935960592,2.337228714524207,10.817307692307693,3.167420814479638,0.0
ketoscanketonemeter,15.164.3.45,4.3699618158676286,0.49261083743842365,2.003338898163606,3.3653846153846154,6.787330316742081,18.77022653721683
ketoscanketonemeter,3.39.93.66,0.8909630886720408,0.8620689655172413,0.0,0.0,6.334841628959276,0.0
ketoscanketonemeter,13.125.20.54,1.4000848536274926,1.1083743842364533,2.003338898163606,2.8846153846153846,0.0,0.0
ketoscanketonemeter,3.39.102.44,2.5031820110309715,2.0935960591133003,5.008347245409015,2.8846153846153846,0.0,0.0
ketoscanketonemeter,15.165.125.158,2.5031820110309715,0.0,4.674457429048414,3.125,8.144796380090497,0.0
ketoscanketonemeter,3.36.173.142,2.2061943148069583,0.0,4.006677796327212,3.8461538461538463,5.429864253393665,0.0
