device_name,domain_name,count,percentage
wyzescale,api.wyzecam.com,6247,13.53
wyzescale,dxp.kaxsdc.com,1155,2.5
wyzescale,wyze-re-rule-svc.wyzecam.com,2903,6.29
wyzescale,wyze-upgrade-service.wyzecam.com,241,0.52
wyzescale,wyze-pluto-service.wyzecam.com,1090,2.36
wyzescale,wyze-app-monitor.wyzecam.com,205,0.44
wyzescale,www.googletagmanager.com,907,1.96
wyzescale,www.google-analytics.com,307,0.67
wyzescale,wyze-membership-service.wyzecam.com,7519,16.29
wyzescale,www.googleoptimize.com,37,0.08
wyzescale,stats.g.doubleclick.net,21,0.05
wyzescale,wyze-platform-service.wyzecam.com,10231,22.16
wyzescale,ai-anything-recognition-api.wyzecam.com,211,0.46
wyzescale,www.google.com,19,0.04
wyzescale,wyze.dataplane.rudderstack.com,780,1.69
wyzescale,auth-prod.api.wyze.com,708,1.53
wyzescale,wyze-api-proxy.wyzecam.com,2550,5.52
wyzescale,ssl.kaptcha.com,78,0.17
wyzescale,api.rudderlabs.com,343,0.74
wyzescale,ai-feedback-video-api.wyzecam.com,206,0.45
wyzescale,sdk.iad-03.braze.com,1430,3.1
wyzescale,ai-tag-mapping-api.wyzecam.com,153,0.33
wyzescale,cdn.shopify.com,5230,11.33
wyzescale,use.fontawesome.com,373,0.81
wyzescale,wyze-general-api.wyzecam.com,1940,4.2
wyzescale,wyzecom.myshopify.com,1281,2.77
