device_name,functionality_no,measurement_no,duration,volume_kb,packet_count
earwax,1,1,0,0.0,0
earwax,1,2,0,0.0,0
earwax,1,3,0,0.0,0
earwax,1,4,0,0.0,0
earwax,1,5,0,0.0,0
earwax,1,6,0,0.0,0
earwax,1,7,0,0.0,0
earwax,1,8,0,0.0,0
earwax,1,9,0,0.0,0
earwax,1,10,0,0.0,0
earwax,2,1,2.9565930366516113,13.4501953125,65
earwax,2,2,2.0286920070648193,14.4296875,67
earwax,2,3,1.0013201236724854,6.77734375,32
earwax,2,4,2.021517038345337,14.4296875,67
earwax,2,5,2.1576168537139893,15.30859375,70
earwax,2,6,3.345716953277588,17.3974609375,81
earwax,2,7,1.008401870727539,6.77734375,32
earwax,2,8,1.5019340515136719,10.6953125,51
earwax,2,9,0.9970250129699707,6.77734375,32
earwax,2,10,1.9061040878295898,13.55078125,64
earwax,3,1,10.075603008270264,69.58984375,303
earwax,3,2,15.136506080627441,104.83203125,450
earwax,3,3,11.030164003372192,77.73828125,330
earwax,3,4,13.024690866470337,87.40234375,380
earwax,3,5,13.025368213653564,90.97265625,393
earwax,3,6,15.123078107833862,103.953125,447
earwax,3,7,12.159509897232056,84.08984375,363
earwax,3,8,11.13589096069336,77.7734375,335
earwax,3,9,11.068692922592163,77.11328125,336
earwax,3,10,11.079346895217896,77.79296875,335
earwax,4,1,2.998566150665283,21.75390625,92
earwax,4,2,4.019404888153076,24.53515625,112
earwax,4,3,3.9594600200653076,28.7109375,123
earwax,4,4,4.024942874908447,26.2578125,113
earwax,4,5,2.9879159927368164,21.64453125,94
earwax,4,6,3.0087859630584717,21.515625,92
earwax,4,7,2.9991118907928467,20.9296875,90
earwax,4,8,3.0085740089416504,21.9375,95
earwax,4,9,2.855781078338623,19.24609375,85
earwax,4,10,2.9997398853302,21.75390625,92
earwax,5,1,6.022808074951172,41.03125,178
earwax,5,2,4.023720026016235,29.11328125,126
earwax,5,3,3.3016669750213623,24.04296875,103
earwax,5,4,7.243377923965454,30.578125,131
earwax,5,5,6.051980972290039,41.26953125,178
earwax,5,6,5.017827033996582,35.5390625,152
earwax,5,7,10.0973060131073,68.21875,291
earwax,5,8,4.964559078216553,35.9609375,155
earwax,5,9,6.012058973312378,38.39453125,169
earwax,5,10,4.032135009765625,26.09375,110
